m,n,m/n,nClass,meanAll,avgSTDAll,entropyClass,Q75,Q25,Q75-Q25,ChiClass,avgChiAll,medChiAll,stdChiAll,minChiAll,maxChiAll,avgPearCorrClass,avgPearCorrAll,avgKendCorrClass,avgKendCorrAll,avgSpeaCorrClass,avgSpeaCorrAll,avgCovClass,avgCovAll,avgKLNormAll,avgKLUnifAll,avgKLLogiAll,avgKLExpoAll,avgKLChiAll,avgKLRaylAll,avgKLParetAll,avgKLZipfAll,KLNormClass,KLUnifClass,KLLogiClass,KLExpoClass,KLChiClass,KLRaylClass,KLParetClass,KLZipfClass,radComClass,class
696,65,10.70769231,3,0.425113987,0.090056663,6.440051758,2,1,1,263.5294118,14.03587437,13.84694655,4.707882978,5.467080314,25.72277803,-0.003064896,0.802471146,0.00384936,0.625727036,0.001211057,0.775795596,0.008797088,0.006593869,0,0,56.51367417,2046.341292,0,0,-273.4311989,705.7539132,-277.6397654,706.1025832,-467.3790888,-127.0203285,59.58048789,2097.463941,-398.9538543,139.8716001,0.107758621,0.355113872
696,65,10.70769231,3,0.417006424,0.127283905,6.437042634,3,1,2,273.2387097,28.09300392,27.7982497,7.595451289,9.10408818,41.52573398,0.067071693,0.633292744,0.072522031,0.463273477,0.090745885,0.605501479,0.016573097,0.010303176,0,0,45.32573379,2038.904896,0,0,-268.1884521,747.3998848,-256.508873,748.6529459,-455.2641053,-83.99087639,56.28139043,2090.291899,-416.3954168,86.52105399,0.119731801,0.491449275
696,65,10.70769231,3,0.540500045,0.119857063,6.437042634,3,1,2,273.2387097,18.85824401,17.66216254,4.466939716,11.67585301,32.48628389,0.020300641,0.79376886,0.018275534,0.633013304,0.019504554,0.78753664,0.011380249,0.01140446,0,0,117.9810785,1939.707189,0,0,-237.6493079,794.6167923,-275.0283755,646.7130408,-500.6213659,-69.4898501,156.9543786,2079.206948,-428.782022,173.903584,0.107279693,0.333436853
696,65,10.70769231,3,0.482800819,0.116707117,6.437042634,3,1,2,273.2387097,20.09582622,19.60878544,5.308707637,9.569064162,32.53391757,0.093006193,0.691144726,0.060988235,0.498745679,0.074156224,0.645894792,0.018491534,0.009469711,0,0,95.19033703,2071.643436,0,0,-259.6612681,765.2465709,-238.6746174,828.4950233,-491.0043351,-86.953178,79.25029325,1946.421633,-418.9051352,146.4666351,0.10967433,0.350538302
696,65,10.70769231,3,0.387846414,0.107075255,6.437042634,3,1,2,273.2387097,22.07424537,22.93164771,8.678423317,6.214409058,38.35847179,0.110165429,0.631731149,0.107916526,0.454850466,0.134998426,0.599183147,0.020566667,0.007375698,0,0,22.38611251,2049.159116,0,0,-271.4138432,728.0665815,-272.1100527,699.0029869,-447.2972952,-84.85068186,16.08664828,2009.899027,-394.5909903,115.9585619,0.106800766,0.287308489
696,65,10.70769231,3,0.529901467,0.099311564,6.440051758,2,1,1,263.5294118,13.25150878,13.20065854,2.372056997,5.851158188,17.64683768,0.074663049,0.75107295,0.083218018,0.532300566,0.101813047,0.686721732,0.015053848,0.007436289,0,0,157.6352765,2100.064164,0,0,-265.7258025,642.8165671,-294.6399105,602.5695786,-508.2532742,-122.2111372,169.2849486,2161.946005,-438.7915314,98.96608613,0.12164751,0.368033126
696,65,10.70769231,3,0.492019047,0.113945696,6.438516343,3,1,2,268.4675325,19.15025938,19.31377633,6.822673616,8.665862894,34.07703979,-0.021015449,0.589698279,-0.013937258,0.426993639,-0.022369177,0.562991701,0.007246931,0.00757238,0,0,100.8883189,1981.246856,0,0,-263.5086992,678.997275,-236.424464,801.0433709,-491.9074297,-95.52290139,146.3588616,2127.544268,-426.1889354,147.5971235,0.102969349,0.352215321
696,65,10.70769231,3,0.394021782,0.111005551,6.437042634,3,1,2,273.2387097,22.08661732,22.00375149,3.612610588,15.01128681,29.17016786,0.018158647,0.726812167,0.019392661,0.537302604,0.020885793,0.692614262,0.011038273,0.00896562,0,0,28.19486277,2012.956536,0,0,-283.4258798,669.5839343,-250.7858027,812.490359,-454.560483,-64.6590634,38.41931692,2113.066065,-409.8983917,114.1912008,0.112068966,0.324699793
696,65,10.70769231,3,0.336409814,0.099172895,6.438516343,3,1,2,268.4675325,20.47065877,20.35960731,2.402922212,13.86241032,25.22799464,-0.027001532,0.836081764,-0.009899176,0.68588742,-0.018202716,0.841183141,0.00694432,0.008221205,0,0,-21.8173206,2038.44772,0,0,-281.0316038,661.5376679,-260.8357077,766.0398711,-412.6108636,-30.09772588,-24.33853729,1998.690259,-385.5487617,124.6346417,0.111590038,0.449772257
696,65,10.70769231,3,0.41389944,0.113727796,6.440051758,2,1,1,263.5294118,22.41776892,21.76038456,4.67821174,14.6932279,38.14877786,0.116858642,0.866012482,0.069963855,0.650582929,0.086039079,0.80314971,0.019634206,0.011244037,0,0,34.06664748,1998.764182,0,0,-272.9853494,670.1592486,-275.5159481,687.420501,-455.7848822,-116.05043,73.49412153,2151.362716,-406.4691208,80.92610646,0.106800766,0.489751553
696,65,10.70769231,3,0.55417016,0.1186383,6.437042634,3,1,2,273.2387097,18.05905886,17.383025,4.931410931,11.54551266,37.47772336,-0.003534524,0.643753691,-0.014322629,0.476131284,-0.022781939,0.618124371,0.009010968,0.009098053,0,0,157.9242726,2029.445439,0,0,-259.7219778,712.7722135,-274.709345,659.455565,-511.4004385,-106.8549141,171.5653863,2115.946846,-434.3237729,144.254298,0.124521073,0.35389234
696,65,10.70769231,3,0.292617199,0.104103246,6.435629175,3,1,2,277.8461538,26.77203935,26.99520607,5.281765714,6.966918736,34.95070915,-0.009974704,0.786745995,-0.010072451,0.587244643,-0.01734378,0.74545539,0.00900234,0.008468263,0,0,-26.42115058,2101.75939,0,0,-256.846033,724.662721,-253.7323847,704.057175,-389.1525255,-98.93913885,-34.80009904,2120.35911,-352.2290511,167.6447132,0.118773946,0.403726708
696,65,10.70769231,3,0.431970409,0.11767375,6.438516343,3,1,2,268.4675325,22.85700908,21.87287112,5.156796638,6.010058083,34.97224314,-0.017445979,0.661058053,-0.007102363,0.477776464,-0.013728725,0.623435338,0.007650604,0.009168076,0,0,60.32613042,2031.469093,0,0,-264.0329008,719.7671113,-275.4873484,725.179829,-460.3753221,-79.18314961,51.00923732,2039.543234,-427.6277759,59.49354928,0.100095785,0.507349896
696,65,10.70769231,3,0.395673768,0.081151708,6.435629175,3,1,2,277.8461538,11.7938972,11.19508839,2.804619472,5.10485445,21.67186672,-0.058360194,0.674068723,-0.004520925,0.386014956,-0.010589069,0.515419242,0.005904233,0.004405602,0,0,20.2967496,2083.943844,0,0,-282.437416,687.8494704,-281.8550705,700.552384,-454.7555279,-93.94998957,31.57873264,2059.256789,-414.9098676,72.40075906,0.106321839,0.324596273
696,65,10.70769231,3,0.478602626,0.127161089,6.437042634,3,1,2,273.2387097,24.03071578,24.13601136,6.521953847,14.13558604,38.60565834,-0.038266822,0.692450821,-0.019014499,0.53417563,-0.029005449,0.685007044,0.005984468,0.011270854,0,0,117.9995563,2172.405934,0,0,-265.0326869,720.8725306,-274.1406564,651.8098218,-468.5256697,-25.78605588,106.1336312,2133.401331,-433.382952,136.417596,0.126915709,0.408012422
696,65,10.70769231,3,0.457793248,0.10519377,6.438516343,3,1,2,268.4675325,16.93438034,17.52790621,3.588098339,9.654036699,23.29529949,-0.044765591,0.736531315,-0.021760025,0.562420966,-0.032215382,0.707849418,0.005266351,0.008334088,0,0,70.26871338,2054.891312,0,0,-227.9296949,854.054146,-274.3372807,679.0997031,-475.7032801,-86.0572301,63.69599667,1988.373357,-425.6385607,97.17046309,0.110632184,0.351966874
