files,AdaBoostClassifier(),BernoulliNB(),ComplementNB(),DecisionTreeClassifier(criterion=entropy),DecisionTreeClassifier(),ExtraTreesClassifier(n_jobs=-1),GaussianNB(),GradientBoostingClassifier(),GradientBoostingClassifier(criterion=mse),"KNeighborsClassifier(algorithm=ball_tree, n_jobs=-1)","KNeighborsClassifier(algorithm=brute, n_jobs=-1)","KNeighborsClassifier(algorithm=kd_tree, n_jobs=-1)",LinearDiscriminantAnalysis(solver=lsqr),LinearDiscriminantAnalysis(),LogisticRegression(n_jobs=-1),"LogisticRegression(n_jobs=-1, penalty=none)",MLPClassifier(max_iter=500),MultinomialNB(),NearestCentroid(),RandomForestClassifier(n_jobs=-1),RidgeClassifier(),SGDClassifier(n_jobs=-1)
S069.csv,0.4598964803312629,0.4827329192546584,0.399296066252588,0.4023602484472049,0.3879710144927536,0.458592132505176,0.4167701863354037,0.4700207039337474,0.4700828157349896,0.4541821946169772,0.4541821946169772,0.4541821946169772,0.4597515527950311,0.4597515527950311,0.5144513457556935,0.5099792960662526,0.5016977225672877,0.4827743271221532,0.3896273291925466,0.461407867494824,0.5259420289855072,0.4916356107660455
S023.csv,0.4208695652173914,0.481407867494824,0.3650931677018633,0.3740165631469979,0.3736231884057971,0.4226915113871635,0.3334368530020704,0.4094202898550724,0.415175983436853,0.4038302277432712,0.4038302277432712,0.4038302277432712,0.4496480331262941,0.4496480331262941,0.4771014492753623,0.4595238095238095,0.4757349896480331,0.4828157349896481,0.3330227743271222,0.4469979296066252,0.4899792960662526,0.3793167701863354
S046.csv,0.4497101449275361,0.4799792960662525,0.3823395445134575,0.3966459627329192,0.4010144927536232,0.4640786749482402,0.3220703933747412,0.4597929606625259,0.4583229813664596,0.4498136645962733,0.4498136645962733,0.4498136645962733,0.4839544513457556,0.4839544513457556,0.5216977225672877,0.4812629399585921,0.5187784679089027,0.4828157349896481,0.3092546583850931,0.4769979296066253,0.5244306418219462,0.4785093167701862
S061.csv,0.4726915113871636,0.4771014492753623,0.3865217391304347,0.45824016563147,0.446935817805383,0.5216356107660455,0.38351966873706,0.5072256728778467,0.5000207039337473,0.4614699792960662,0.4614699792960662,0.4614699792960662,0.4829399585921324,0.4829399585921324,0.5288405797101449,0.497184265010352,0.5632919254658385,0.4828157349896481,0.342111801242236,0.5244927536231884,0.5432091097308489,0.4584679089026915
S077.csv,0.472712215320911,0.4769772256728779,0.4324844720496895,0.4111594202898551,0.3982815734989648,0.5146376811594202,0.3779710144927536,0.5045134575569358,0.5016149068322981,0.501449275362319,0.501449275362319,0.501449275362319,0.4499792960662526,0.4514078674948241,0.5058592132505175,0.4555693581780538,0.4930227743271222,0.4827743271221532,0.4167701863354037,0.5147412008281573,0.5058385093167702,0.4281987577639752
S053.csv,0.4945134575569357,0.4813664596273292,0.353416149068323,0.4426086956521738,0.4412836438923396,0.4843064182194617,0.4095445134575569,0.4672256728778468,0.4715320910973085,0.4384057971014493,0.4384057971014493,0.4384057971014493,0.4413664596273292,0.4413664596273292,0.4527743271221532,0.422463768115942,0.4986542443064182,0.4828157349896481,0.4096894409937889,0.4929399585921324,0.4527743271221531,0.3749482401656315
S014.csv,0.4524844720496895,0.4785093167701862,0.3923602484472049,0.3836645962732919,0.3589855072463768,0.4711594202898551,0.4266252587991718,0.4511594202898551,0.442463768115942,0.4395238095238095,0.4395238095238095,0.4395238095238095,0.4167287784679089,0.41527950310559,0.4869151138716356,0.413871635610766,0.4710351966873706,0.4828157349896481,0.4149689440993788,0.494223602484472,0.4769565217391304,0.3936438923395445
S074.csv,0.4555693581780538,0.4798550724637682,0.4985300207039337,0.4050931677018634,0.4037267080745342,0.5402277432712215,0.3737888198757764,0.4783643892339544,0.481304347826087,0.4727329192546583,0.4727329192546583,0.4727329192546583,0.4238923395445134,0.4238923395445134,0.5504140786749483,0.4972670807453417,0.5432298136645962,0.4899585921325052,0.4311387163561077,0.5359834368530021,0.5317805383022775,0.4513250517598344
S086.csv,0.5168737060041408,0.4799585921325052,0.4253416149068323,0.4710766045548654,0.4824223602484472,0.5846169772256727,0.3964389233954451,0.5225258799171842,0.5196687370600415,0.5098757763975155,0.5098757763975155,0.5098757763975155,0.4854865424430642,0.4854865424430642,0.5458592132505177,0.4983850931677018,0.54879917184265,0.4828157349896481,0.4094616977225673,0.5601449275362318,0.534368530020704,0.482608695652174
S055.csv,0.4683643892339544,0.4813871635610766,0.4426708074534161,0.434120082815735,0.4181573498964804,0.5029606625258799,0.3361283643892339,0.5143064182194617,0.50703933747412,0.4783022774327122,0.4783022774327122,0.4783022774327122,0.5099171842650103,0.5084679089026916,0.5529606625258798,0.5343892339544514,0.5285921325051759,0.4828157349896481,0.3274120082815735,0.4958178053830228,0.5716356107660456,0.4672463768115942
S104.csv,0.4670058796924469,0.4819764812302125,0.421641791044776,0.3979194934418815,0.4309362279511533,0.5060832202623249,0.3751469923111714,0.4776797829036635,0.4656037991858888,0.4533469018543645,0.4533469018543645,0.4533469018543645,0.4774084124830393,0.4774084124830393,0.5028493894165535,0.4355042966983266,0.4938941655359565,0.4819538670284938,0.4173224785165083,0.4970149253731343,0.5044776119402985,0.4488919041157847
S009.csv,0.4584057971014492,0.4755693581780539,0.4438302277432712,0.3819047619047619,0.4179296066252588,0.4796687370600414,0.3763975155279503,0.4378053830227743,0.4378467908902691,0.4596687370600414,0.4596687370600414,0.4596687370600414,0.4480124223602484,0.4465838509316769,0.5184472049689441,0.4366045548654244,0.5025879917184264,0.4827743271221533,0.4610973084886128,0.4753209109730849,0.5025672877846791,0.4422981366459627
S027.csv,0.4742857142857143,0.4785507246376811,0.4597308488612836,0.4237474120082815,0.418343685300207,0.4987163561076604,0.3522153209109731,0.4886749482401656,0.482919254658385,0.433871635610766,0.433871635610766,0.433871635610766,0.4484472049689441,0.4484472049689441,0.5116977225672877,0.4557763975155279,0.5143685300207039,0.4828364389233955,0.4122981366459627,0.4957763975155279,0.5074120082815735,0.4757556935817805
S094.csv,0.5045341614906833,0.4885300207039338,0.4613250517598343,0.4280952380952381,0.4193374741200828,0.537536231884058,0.4280745341614906,0.492919254658385,0.4885093167701863,0.4726086956521739,0.4726086956521739,0.4726086956521739,0.4957142857142856,0.4942857142857142,0.5403105590062112,0.5029606625258799,0.5159006211180124,0.4828157349896481,0.376583850931677,0.5318219461697722,0.5301863354037267,0.4536645962732919
S034.csv,0.4812008281573498,0.4813457556935818,0.4440579710144927,0.4268944099378882,0.4424430641821946,0.5228364389233955,0.3245962732919255,0.4983643892339545,0.4983229813664597,0.4757142857142857,0.4757142857142857,0.4757142857142857,0.4495859213250518,0.4481366459627329,0.5070600414078674,0.4928571428571427,0.5202691511387164,0.4827743271221533,0.3978260869565217,0.5055900621118012,0.5085507246376813,0.4785093167701862
S004.csv,0.485631469979296,0.4827950310559006,0.4745341614906831,0.4471635610766046,0.4008695652173913,0.5491304347826087,0.3435817805383022,0.5157556935817806,0.5113664596273291,0.4843478260869565,0.4843478260869565,0.4843478260869565,0.4930641821946169,0.4930641821946169,0.5649275362318841,0.4914285714285714,0.5418012422360248,0.4828157349896481,0.4486128364389234,0.5720703933747413,0.5533540372670808,0.5014906832298137
